,FID,u,v,key,osmid,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,source,target,FID_1,id_1,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,fill_ratio,highway_1,drop,FID_12,u_1,v_1,key_1,osmid_1,name_1,highway_12,oneway_1,length_1,lanes_1,bridge_1,ref_1,junction_1,maxspeed_1,tunnel_1,access_1,id_12,source_1,target_1,FID_12_13,id_12_13,avg_01,avg_12_13,avg_23_24,avg_34,avg_45,avg_56,avg_67,avg_78,avg_89,avg_9_10,avg_10_11,avg_11_12,avg_12__14,avg_13_14,avg_14_15,avg_15_16,avg_16_17,avg_17_18,avg_18_19,avg_19_20,avg_20_21,avg_21_22,avg_22_23,avg_23__25,fill_rat_1,highway_13,drop_1
546,546,1984212343.0000002,103895144.0,0.0,10728688,延安高架路,trunk,1,1193.771,4,yes, , , , , ,12024,1984212343.0000002,103895144.0,12024,12024.0,21.395977141099998,22.4191011951,22.7554269333,23.5399137091,26.8029980069,23.7361841944,23.009083283899997,16.2854857063,12.603176296400001,13.4110125779,12.327507392200001,10.060000330700001,14.3788759705,11.5300280546,18.5616383963,14.6424186898,13.685308404,15.8822073874,11.2440626519,9.75977998761,15.6255541596,19.085681283699998,21.406119384700002,21.4221912657,1.0,trunk,1,546,1984212343.0000002,103895144.0,0.0,10728688,延安高架路,trunk,1,1193.771,4,yes, , , , , ,12024.0,1984212343.0000002,103895144.0,12024,12024.0,21.395977141099998,22.4191011951,22.7554269333,23.5399137091,26.8029980069,23.7361841944,23.009083283899997,16.2854857063,12.603176296400001,13.4110125779,12.327507392200001,10.060000330700001,14.3788759705,11.5300280546,18.5616383963,14.6424186898,13.685308404,15.8822073874,11.2440626519,9.75977998761,15.6255541596,19.085681283699998,21.406119384700002,21.4221912657,1.0,trunk,1
547,547,1984212343.0000002,146017176.0,0.0,"[187783758, 513082646, 187783759]", ,trunk_link,1,365.325, ,yes, , , , , ,12025,1984212343.0000002,146017176.0,12025,12025.0,18.1494037377,15.987000688,11.0635181704,12.328841479100001,18.26625,14.6960284091,24.4766889178,13.312583204600001,12.344519106,10.5803714329,14.5966742524,14.368057361500002,15.137671283,12.9179777579,21.5329607871,16.4170048557,19.2579680813,17.1849155319,16.5365540015,12.578521421300001,20.0105494227,21.866615993200003,18.8501871243,23.157590370500003,1.0,trunk_link,1,547,1984212343.0000002,146017176.0,0.0,0, ,trunk_link,1,365.325,0,yes, , , , , ,12025.0,1984212343.0000002,146017176.0,12025,12025.0,18.1494037377,15.987000688,11.0635181704,12.328841479100001,18.26625,14.6960284091,24.4766889178,13.312583204600001,12.344519106,10.5803714329,14.5966742524,14.368057361500002,15.137671283,12.9179777579,21.5329607871,16.4170048557,19.2579680813,17.1849155319,16.5365540015,12.578521421300001,20.0105494227,21.866615993200003,18.8501871243,23.157590370500003,1.0,trunk_link,1
548,548,1984271672.9999998,5032187727.999999,0.0,515223445,延安中路,primary,1,81.61799999999998,6, , , , , , ,12027,1984271672.9999998,5032187727.999999,12027,12027.0,8.48377989744,8.81761972835,8.16721038719,9.862175,8.38851666667,8.36703824561,7.65767069667,6.9587539113900005,6.49804349243,6.144093132869999,6.470170119850001,6.24042722524,6.75859442564,6.22477339679,6.28009591089,5.682178222079999,5.6396682804,6.39584770895,5.25617542754,6.50452756878,7.46873215781,7.20708616753,7.54083521928,8.20073827044,1.0,primary,1,548,1984271672.9999998,5032187727.999999,0.0,515223445,延安中路,primary,1,81.61799999999998,6, , , , , , ,12027.0,1984271672.9999998,5032187727.999999,12027,12027.0,8.48377989744,8.81761972835,8.16721038719,9.862175,8.38851666667,8.36703824561,7.65767069667,6.9587539113900005,6.49804349243,6.144093132869999,6.470170119850001,6.24042722524,6.75859442564,6.22477339679,6.28009591089,5.682178222079999,5.6396682804,6.39584770895,5.25617542754,6.50452756878,7.46873215781,7.20708616753,7.54083521928,8.20073827044,1.0,primary,1
549,549,2298619532.0,618750242.0000001,0.0,610738424,江苏路,primary,1,47.39400000000001,2, , , , , , ,12094,2298619532.0,618750242.0000001,12094,12094.0,4.50669579097,4.304955,2.66146078111,3.8507625,2.7925757575800003,3.1596,4.49765425361,2.68366302419,3.56978663865,3.4345096274599998,4.59891305065,3.92755013717,4.03083346548,4.22787755693,3.74134868842,3.4191837237000002,4.2620803912400005,3.8007663472,4.105664695210001,4.44315312168,4.09183532122,3.82485787154,4.022428435989999,4.16752455039,1.0,primary,1,549,2298619532.0,618750242.0000001,0.0,610738424,江苏路,primary,1,47.394,2, , , , , , ,12094.0,2298619532.0,618750242.0000001,12094,12094.0,4.50669579097,4.304955,2.66146078111,3.8507625,2.7925757575800003,3.1596,4.49765425361,2.68366302419,3.56978663865,3.4345096274599998,4.59891305065,3.92755013717,4.03083346548,4.22787755693,3.74134868842,3.4191837237000002,4.2620803912400005,3.8007663472,4.105664695210001,4.44315312168,4.09183532122,3.82485787154,4.022428435989999,4.16752455039,1.0,primary,1
550,550,2329789973.0,600487399.0,0.0,47087992,陕西南路,secondary,1,110.977,3, , , , , , ,12137,2329789973.0,600487399.0,12137,12137.0,7.31355922038,6.912608109730001,7.36763972222,6.4736583333299995,11.0977,8.39029009662,10.9973265538,7.393583684299999,7.63471252288,6.1363667604100005,6.790693537589999,5.99257481572,5.7196279718200005,4.5100561608,4.4371992349500005,6.421098832469999,5.66303360635,7.18766015755,4.4861804007499995,3.51780722626,6.27639270863,6.246028535470001,7.3103030236099995,9.22371687442,1.0,secondary,1,550,2329789973.0,600487399.0,0.0,47087992,陕西南路,secondary,1,110.977,3, , , , , , ,12137.0,2329789973.0,600487399.0,12137,12137.0,7.31355922038,6.912608109730001,7.36763972222,6.4736583333299995,11.0977,8.39029009662,10.9973265538,7.393583684299999,7.63471252288,6.1363667604100005,6.790693537589999,5.99257481572,5.7196279718200005,4.5100561608,4.4371992349500005,6.421098832469999,5.66303360635,7.18766015755,4.4861804007499995,3.51780722626,6.27639270863,6.246028535470001,7.3103030236099995,9.22371687442,1.0,secondary,1
551,551,2346183499.0,618749575.0000001,0.0,71293415,长寿路,primary,1,519.1560000000001,5, , , , , , ,12139,2346183499.0,618749575.0000001,12139,12139.0,10.672334343200001,12.487463306199999,9.96300323066,12.100693444800001,19.46835,9.9210835023,11.4858783066,9.23178680961,10.7724350025,8.41409862354,9.67892975096,8.87344918016,10.2800373464,8.065450734420002,8.38540509067,10.342184175,9.44508124853,8.12261513098,8.30166275975,9.71973328643,8.5254084179,10.0602065729,11.185700468499999,10.6879712299,1.0,primary,1,551,2346183499.0,618749575.0000001,0.0,71293415,长寿路,primary,1,519.156,5, , , , , , ,12139.0,2346183499.0,618749575.0000001,12139,12139.0,10.672334343200001,12.487463306199999,9.96300323066,12.100693444800001,19.46835,9.9210835023,11.4858783066,9.23178680961,10.7724350025,8.41409862354,9.67892975096,8.87344918016,10.2800373464,8.065450734420002,8.38540509067,10.342184175,9.44508124853,8.12261513098,8.30166275975,9.71973328643,8.5254084179,10.0602065729,11.185700468499999,10.6879712299,1.0,primary,1
552,552,2346183513.9999995,618749500.9999999,0.0,449197597,长寿路,primary,1,18.717,5, , , , , , ,12140,2346183513.9999995,618749500.9999999,12140,12140.0,2.46798240433,2.85942369079,2.1435561971399997,4.05535,1.33178653846,2.8793077292900002,2.01225270675,2.09529594739,1.7279979394299998,2.01310554205,1.9078376355899997,1.8614003025799999,1.95978216573,1.99961773563,2.03488027763,1.47541069666,1.74133927703,1.70742909418,1.8112200601800001,2.20129775407,1.9737001136599999,1.6956208452300001,2.38261300609,2.13508718898,1.0,primary,1,552,2346183513.9999995,618749500.9999999,0.0,449197597,长寿路,primary,1,18.717,5, , , , , , ,12140.0,2346183513.9999995,618749500.9999999,12140,12140.0,2.46798240433,2.85942369079,2.1435561971399997,4.05535,1.33178653846,2.8793077292900002,2.01225270675,2.09529594739,1.7279979394299998,2.01310554205,1.9078376355899997,1.8614003025799999,1.95978216573,1.99961773563,2.03488027763,1.47541069666,1.74133927703,1.70742909418,1.8112200601800001,2.20129775407,1.9737001136599999,1.6956208452300001,2.38261300609,2.13508718898,1.0,primary,1
553,553,2346183628.0,618751271.0000001,0.0,50832816,长寿路,primary,1,68.395,5, , , , , , ,12144,2346183628.0,618751271.0000001,12144,12144.0,6.7215434511000005,5.888906331169999,6.62753202479,6.26954166667,6.19154736842,6.0835033189,6.33142285714,6.68400438508,5.99613238076,6.264375333509999,6.3760822928600005,6.49107082503,6.77476668263,6.32047561929,6.719178250390001,5.97910761332,6.53551996033,6.14969076604,6.55452083333,6.28320110811,6.6712265873000005,5.9187069799000005,6.169542751080001,6.39610074774,1.0,primary,1,553,2346183628.0,618751271.0000001,0.0,50832816,长寿路,primary,1,68.395,5, , , , , , ,12144.0,2346183628.0,618751271.0000001,12144,12144.0,6.7215434511000005,5.888906331169999,6.62753202479,6.26954166667,6.19154736842,6.0835033189,6.33142285714,6.68400438508,5.99613238076,6.264375333509999,6.3760822928600005,6.49107082503,6.77476668263,6.32047561929,6.719178250390001,5.97910761332,6.53551996033,6.14969076604,6.55452083333,6.28320110811,6.6712265873000005,5.9187069799000005,6.169542751080001,6.39610074774,1.0,primary,1
554,554,2346255696.9999995,875815581.0,0.0,50832816,长寿路,primary,1,210.946,5, , , , , , ,12151,2346255696.9999995,875815581.0,12151,12151.0,15.5353849809,14.9809866409,18.334810151400003,11.9511553976,14.8255239423,15.5325776523,16.9345119104,14.7977335753,12.9488968701,12.007128891199999,13.2120091079,12.1815000769,12.310191375,13.085704534400001,12.441902281600001,11.9504911,10.319656758099999,9.45164686142,7.64570902337,11.3803328967,11.1361320223,11.058633886800001,12.9018931427,14.7927043761,1.0,primary,1,554,2346255696.9999995,875815581.0,0.0,50832816,长寿路,primary,1,210.946,5, , , , , , ,12151.0,2346255696.9999995,875815581.0,12151,12151.0,15.5353849809,14.9809866409,18.334810151400003,11.9511553976,14.8255239423,15.5325776523,16.9345119104,14.7977335753,12.9488968701,12.007128891199999,13.2120091079,12.1815000769,12.310191375,13.085704534400001,12.441902281600001,11.9504911,10.319656758099999,9.45164686142,7.64570902337,11.3803328967,11.1361320223,11.058633886800001,12.9018931427,14.7927043761,1.0,primary,1
555,555,2355864315.9999995,648297118.0000001,0.0,40786653,江宁路,secondary,0,62.878,4, , , , , , ,12154,2355864315.9999995,648297118.0000001,12154,12154.0,5.88025740741,6.64336011905,6.41284147727,3.66788333333,12.5756,4.19186666667,9.53649666667,6.93203634245,5.5586785584800005,6.53908758336,5.99323040977,6.5123642857099995,6.14632042865,6.334275043480001,5.724548982869999,5.69014537926,5.04858642801,5.20343337068,5.53541562578,5.95435606061,5.19075411867,6.044282104700001,5.440495079910001,7.3272867787800005,1.0,secondary,1,555,2355864315.9999995,648297118.0000001,0.0,40786653,江宁路,secondary,0,62.878,4, , , , , , ,12154.0,2355864315.9999995,648297118.0000001,12154,12154.0,5.88025740741,6.64336011905,6.41284147727,3.66788333333,12.5756,4.19186666667,9.53649666667,6.93203634245,5.5586785584800005,6.53908758336,5.99323040977,6.5123642857099995,6.14632042865,6.334275043480001,5.724548982869999,5.69014537926,5.04858642801,5.20343337068,5.53541562578,5.95435606061,5.19075411867,6.044282104700001,5.440495079910001,7.3272867787800005,1.0,secondary,1
556,556,2355864315.9999995,156261358.99999997,0.0,40786653,江宁路,secondary,0,90.69,4, , , , , , ,12155,2355864315.9999995,156261358.99999997,12155,12155.0,5.77837795158,6.50023795044,8.14015023613,4.5345,7.77342857143,12.092,7.91438194444,8.19233,6.822897071590001,7.493127749989999,7.02880416109,8.914718757559998,7.25701250632,7.42833280023,6.425219139379999,7.7659444442900005,6.2493224427100005,5.858000114099999,6.57227184614,6.82495067095,5.06459972975,6.27638072291,5.17333157939,5.1128697676499995,1.0,secondary,1,556,2355864315.9999995,156261358.99999997,0.0,40786653,江宁路,secondary,0,90.69,4, , , , , , ,12155.0,2355864315.9999995,156261358.99999997,12155,12155.0,5.77837795158,6.50023795044,8.14015023613,4.5345,7.77342857143,12.092,7.91438194444,8.19233,6.822897071590001,7.493127749989999,7.02880416109,8.914718757559998,7.25701250632,7.42833280023,6.425219139379999,7.7659444442900005,6.2493224427100005,5.858000114099999,6.57227184614,6.82495067095,5.06459972975,6.27638072291,5.17333157939,5.1128697676499995,1.0,secondary,1
557,557,2365827864.0000005,64807049.0,0.0,85796876,江苏路,primary,1,151.107,3, , , , , , ,12208,2365827864.0000005,64807049.0,12208,12208.0,12.8062753068,11.980915536700001,14.9351142857,10.5223192153,16.3124866667,13.7087437676,11.1442995509,7.0878755875,6.87549599502,6.87002407346,8.36663576439,8.70314290135,8.14471830161,6.93524326745,8.78277836495,7.429068117309999,8.00176808323,9.33249287696,6.75878291946,9.07957781316,8.98050945868,9.73090707952,10.7561907755,10.109737998,1.0,primary,1,557,2365827864.0000005,64807049.0,0.0,85796876,江苏路,primary,1,151.107,3, , , , , , ,12208.0,2365827864.0000005,64807049.0,12208,12208.0,12.8062753068,11.980915536700001,14.9351142857,10.5223192153,16.3124866667,13.7087437676,11.1442995509,7.0878755875,6.87549599502,6.87002407346,8.36663576439,8.70314290135,8.14471830161,6.93524326745,8.78277836495,7.429068117309999,8.00176808323,9.33249287696,6.75878291946,9.07957781316,8.98050945868,9.73090707952,10.7561907755,10.109737998,1.0,primary,1
558,558,2366018696.0000005,469945141.0,0.0,70662735,定西路,tertiary,1,134.162,3, , , , , , ,12224,2366018696.0000005,469945141.0,12224,12224.0,11.4849251781,12.021905766,11.7827340909,13.4162,0.0,6.428595833329999,11.8616244444,10.5775726496,8.43907283913,9.52512987938,9.3768757531,9.46624501299,8.808102310760002,8.71426504105,8.86378320163,9.739956988940001,9.31587216132,9.3322072055,7.95099202961,8.893115964610002,10.0820583593,10.6637546486,11.7384914486,11.2163150721,0.958333333333,tertiary,1,558,2366018696.0000005,469945141.0,0.0,70662735,定西路,tertiary,1,134.162,3, , , , , , ,12224.0,2366018696.0000005,469945141.0,12224,12224.0,11.4849251781,12.021905766,11.7827340909,13.4162,0.0,6.428595833329999,11.8616244444,10.5775726496,8.43907283913,9.52512987938,9.3768757531,9.46624501299,8.808102310760002,8.71426504105,8.86378320163,9.739956988940001,9.31587216132,9.3322072055,7.95099202961,8.893115964610002,10.0820583593,10.6637546486,11.7384914486,11.2163150721,0.958333333333,tertiary,1
559,559,2483786483.0,1881233637.0,0.0,168577948,常德路,secondary,0,123.287, , , , , , , ,12348,2483786483.0,1881233637.0,12348,12348.0,11.460448411600002,11.3362536281,9.90699107143,10.2739166667,8.76952172619,10.25133663,10.1869007744,7.494068116319999,4.40765822042,7.081524076059999,7.5368934116299995,8.40319856635,7.48060007024,8.52820275791,5.98330617428,2.90491599834,6.55785089804,5.41735774045,4.37586332361,6.6997156987199995,7.16330115125,7.58937139918,8.2708572553,9.36317992873,1.0,secondary,1,559,2483786483.0,1881233637.0,0.0,168577948,常德路,secondary,0,123.287,0, , , , , , ,12348.0,2483786483.0,1881233637.0,12348,12348.0,11.460448411600002,11.3362536281,9.90699107143,10.2739166667,8.76952172619,10.25133663,10.1869007744,7.494068116319999,4.40765822042,7.081524076059999,7.5368934116299995,8.40319856635,7.48060007024,8.52820275791,5.98330617428,2.90491599834,6.55785089804,5.41735774045,4.37586332361,6.6997156987199995,7.16330115125,7.58937139918,8.2708572553,9.36317992873,1.0,secondary,1
560,560,2483786483.0,131940524.0,0.0,168577948,常德路,secondary,0,78.917, , , , , , , ,12349,2483786483.0,131940524.0,12349,12349.0,6.98374699599,5.93812834842,8.56469868361,11.83755,7.6525575757599995,11.83755,8.59318444444,7.998929285599999,6.1021232866499995,5.883181551260001,5.64391232477,6.6590582952699995,7.51833489028,8.24748376671,7.0367395522,6.2567393635099995,6.22428876482,6.9983632372699995,6.09473002274,6.66344497069,6.73714632833,5.86751439877,7.071867257899999,7.31305861506,1.0,secondary,1,560,2483786483.0,131940524.0,0.0,168577948,常德路,secondary,0,78.917,0, , , , , , ,12349.0,2483786483.0,131940524.0,12349,12349.0,6.98374699599,5.93812834842,8.56469868361,11.83755,7.6525575757599995,11.83755,8.59318444444,7.998929285599999,6.1021232866499995,5.883181551260001,5.64391232477,6.6590582952699995,7.51833489028,8.24748376671,7.0367395522,6.2567393635099995,6.22428876482,6.9983632372699995,6.09473002274,6.66344497069,6.73714632833,5.86751439877,7.071867257899999,7.31305861506,1.0,secondary,1
